id	text	timestamp	location
1	*while screaming Justise Better* https://t.co/INnHVpeErd	2018-03-05 20:59:12	None
2	Que hijo de puta https://t.co/xoQHOHbns4	2018-03-05 20:59:28	None
3	Miami Heat: The genuine importance of Kelly Olynyk https://t.co/mLai9NOkrR	2018-03-05 20:59:51	None
4	Elecia James  Courtesy of Beverly Black Johnson Genius is Common https://t.co/gt1ZZ0U5q5 https://t.co/c9L4Txiq3c https://t.co/PH6Fonts3b	2018-03-05 21:01:24	None
5	C'est ce que je voulais proposer avec Olapido 20 pts , allez le suivre https://t.co/BzIuIijqHS	2018-03-05 21:02:09	None
6	[Sun-Sentinel] Wade lauds Kobe's Oscar, says no desire to be a leading man on screen https://t.co/0khg9LIr3z #Heat #MiamiHeat	2018-03-05 21:02:17	None
7	I liked a @YouTube video https://t.co/uIFcVrAlH2 D WADE TEXTING FREDDY TO GET HIM TO THE MIAMI HEAT! THE BATTLE OF FLORIDA! - NBA 2K18	2018-03-05 21:02:39	None
8	Miami Heat's next opponent, the Phoenix Suns, plays at a faster pace than the Los Angeles Lakers https://t.co/iu4LWXDnyJ	2018-03-05 21:03:23	None
9	Wade lauds Kobe's Oscar, says no desire to be a leading man on scree - South Florida Sun https://t.co/qIMBnkPZZ1	2018-03-05 21:03:31	None
10	Bam Adebayo back for Heat but backcourt health still a concern - South Florida Sun https://t.co/5sGBAgtLic	2018-03-05 21:03:32	None
11	Derrick Walton Jr. rejoins Heat from G League on two-way deal - South Florida Sun https://t.co/W8i49jPEpS	2018-03-05 21:03:32	None
12	🏀NBA⭕️Cleveland - Detroit⭕️Indiana - Milwaukee⭕️Miami Heat - Phoenix⭕️Chicago - Boston Celtics⭕️San Antonio -… https://t.co/pIzC2BmRFq	2018-03-05 21:04:03	None
13	Explain that in the heat of the moment... Kev almost got housed cuz he may or may not have said "nigga" https://t.co/uUjA2x9F5T	2018-03-05 21:04:09	None
