id	text	timestamp	location
1	Kyrie misses his second straight game vs Chicago. #Bulls dominated #Celtics last time the two faced off in Chicago earlier this season.	2018-03-05 21:25:05	None
2	Kyrie misses his second straight game vs Chicago. Bulls dominated Celtics last time the two faced off in Chicago earlier this season.	2018-03-05 21:25:37	None
3	yay!!!! https://t.co/4QOloUg5PU	2018-03-05 21:26:55	None
4	Zach FULL breakout season coming next year https://t.co/tufuspac88	2018-03-05 21:27:56	None
5	✊🏾✊🏾✊🏾 https://t.co/QbZDtsRmz0	2018-03-05 21:29:21	None
6	Chicago Bulls VS Boston Celtics ( BETTING TIPS, Match Preview &amp; Expert Analysis )  https://t.co/AvD4ongK3N	2018-03-05 21:30:04	None
7	#Bulls fans dissing LaVine annoy me highly. The man just came off an ACL injury. Letting him go with make matters w… https://t.co/XluErvnSCj	2018-03-19 17:48:59	None
8	Combo – Golden State #Warriors vs Chicago #Bulls Full Game #Highlights / Jan 17 / 2017-18… https://t.co/WXxeNHK1Pc	2018-03-19 17:50:30	None
9	$150 Chicago Bulls Varsity Jacket Patches #NBA Mens Medium New NWT RARE https://t.co/gV53pNCu7B	2018-03-19 17:51:06	None
10	Combo – Golden State Warriors vs Chicago Bulls Full Game Highlights / Jan 17 / 2017-18 NBA Season… https://t.co/1jtL5mnW1V	2018-03-19 17:51:13	None
11	Thank you to @rolopez42, @MarkkanenLauri, the Luvabulls and ambassadors from the @chicagobulls for surprising famil… https://t.co/iqNVmSSN2W	2018-03-19 17:51:33	None
12	@NightZerez @chicagobulls meant in the video but ye	2018-03-19 17:52:25	None
13	"A mi me da igual ese Zach yo quiero a Jimmy" - Tania 2017 https://t.co/aowXRcIkXu	2018-03-19 17:52:42	None
14	@blakeney96  another dunk tonight bro @chicagobulls  #Bullsnation	2018-03-19 17:52:44	None
15	Lauri Markkanen puhuu isyydestä lämpimään sävyyn: ”On ollut aika makeaa, pakko sanoa” https://t.co/2AKjSsRB9E https://t.co/XxeDN0f32o	2018-03-19 17:54:01	None
16	@memgrizz @SacramentoKings @ATLHawks @OrlandoMagic @chicagobulls @nuggets HELLO SIGN HIM https://t.co/nd22opIeDj	2018-03-19 17:54:10	None
17	@chicagobulls Hope the NBA overhauls the draft process b/cuz this tanking stuff &amp; not playing your starting five is… https://t.co/r9yKB5SRSM	2018-03-19 17:54:25	None
18	GAMEDAY!! #CHIatNYK #BullsNation https://t.co/xuSnORH5uT	2018-03-19 17:54:56	None
19	Worthy was injured in Gm4 as the #Bulls took a 3-1 series lead &amp; Magic had 20 assists in Gm5 so he was clearly inef… https://t.co/K5aXhuLagK	2018-03-19 17:55:18	None
20	@chicagobulls 23 years ago today MJ is back ,4 more seasons of excellence.I remember that game in Indy like it was… https://t.co/wNLJuddvSW	2018-03-19 17:56:49	None
21	The Bulls tank is dead - Blog a Bull (blog) https://t.co/vwdkkAdoJF #BullsNation https://t.co/XW5cOkpAU5	2018-03-19 17:57:04	None
22	#MJ #MichaelJordan #ChicagoBull #BullsNation #23 https://t.co/HG1PY8PxVQ	2018-03-19 17:57:42	None
23	#NBA The Hammer taking #Cavaliers -2.5 #Pacers -4.5 #Bulls +5 Follow The Hammer #MLB is coming The Hammer will have… https://t.co/XtXVfKgmUP	2018-03-19 17:57:54	None
24	😂😂😂😂😂 https://t.co/lZzrdfnUjG	2018-03-19 17:58:12	None
25	@SJDoerr the fact that the entire valley can get behind them. AZ is full of transplants,  the other teams here don'… https://t.co/NpNQg41TF8	2018-03-19 17:58:19	None
26	NBA Tank Finals at MSG tonight!!!!! #Knicks #Bulls	2018-03-19 17:58:30	None
