id	text	timestamp	location
1	Yess my daddy didn’t come to play 😋 https://t.co/N6F8WkfYba	2018-03-19 23:12:14	None
2	There’s a lot of ppl on that Houston rockets hype train... remember, the nba season is not a sprint, it’s a marathon👀	2018-03-19 23:12:20	None
3	James harden moves😍😍	2018-03-19 23:13:10	None
4	@kingpadillo Amigo Padi, difícil elección. Como bien has dicho, a excepción del 👑, mis 3 elegidos son;- James Hard… https://t.co/gMiERQrCcC	2018-03-19 23:13:09	None
5	@SportsTalk790 @SInow @RohanNadkarni @adamclanton @HoustonRockets @trailblazers @JaysonBraddock honestly, who gives… https://t.co/gI8hTyTq7z	2018-03-19 23:13:13	None
6	@KingJames Sports writers everywhere like...  @KingJames sends cryptic tweet featuring 🚀 emoji.. Plans to sign with… https://t.co/SGlwLPVkTp	2018-03-19 23:13:52	None
7	I’m in LA you in LA i’m Kobe you Chris Paul	2018-03-19 23:13:57	None
8	Fax https://t.co/FQaU6NuQuq	2018-03-19 23:14:21	None
9	@NBA @ESPNNBA Giannis Antetokounmpo is averaging a career-high 27.4 PPG (3rd most in the league, behind @AntDavis23… https://t.co/NGgpCZAvp0	2018-03-19 23:15:01	None
10	James Harden would have no match to a healthy Derrick Rose. Those knees ruined Rose's game.	2018-03-19 23:15:19	None
11	Why did he fall like that 💀 light ass push https://t.co/JMxnqc0dbi	2018-03-19 23:15:35	None
12	Alvin Gentry thinks James Harden is this season's MVP 🏀'It's not even close.' https://t.co/KUIIlbwbRW	2018-03-19 23:16:15	None
13	W https://t.co/ilGUQb0loe	2018-03-19 23:16:45	None
14	@ob2turnt Not really wrong. The Houston Rockets only have 2 good players and then they have Clint Capela. OKC just… https://t.co/e5dcLClWK4	2018-03-19 23:17:20	None
15	The Houston Rockets Nene had a fan warm his seat up while he was playing.	2018-03-19 23:17:39	None
16	Ew https://t.co/AyKzNPKECI	2018-03-19 23:17:43	None
17	Portland Trail Blazers vs. Houston Rockets: Game preview, TV channel, how to watch live - https://t.co/972XSLVwvY	2018-03-19 23:17:52	None
18	👀 https://t.co/mApi0qIq9N	2018-03-19 23:19:23	None
19	@sosupersameiro @bballbreakdown @BBiomechanics I do not think that a tight stance precludes balance. Plenty of shoo… https://t.co/0kDz7OMiwe	2018-03-19 23:20:17	None
20	@NBA @ESPNNBA @SHAQ @KingJames #CavsBucks @cavs James Harden goes to the line 16 times a game LeBron in the Cavalie… https://t.co/i1lHpgfwuw	2018-03-19 23:20:23	None
21	Tweets this 24 hours after Russ porked his countries team. https://t.co/Wtsm5A1nb4	2018-03-19 23:20:25	None
22	Let's go #Rockets!!  It's playoff time! https://t.co/wbr51CH7Ab	2018-03-19 23:21:04	None
23	@Dom_2k I think they can beat the warriors, specially if the bench players play well during the playoffs, gerald gr… https://t.co/yCuxsfEF36	2018-03-19 23:21:04	None
24	@CP3 done went to @HoustonRockets and put the whole team on with @StateFarm @TrevorAriza @JHarden13 #facts #nba #Houston	2018-03-19 23:21:46	None
25	@LucasCoelho1998 @Dom_2k Playoff joe Johnson aint no joke either	2018-03-19 23:22:00	None
26	Chris Paul says he'll pay Gerald Green's potential fine for shove against Wolves - https://t.co/B2Yu7e0GS6	2018-03-19 23:22:22	None
